"","Departement","Latitude.la.plus.au.nord","Latitude.la.plus.au.sud","Longitude.la.plus.a.l.est","Longitude.la.plus.a.l.ouest","X","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"74","75",48.902007785215,48.816314210034,2.4675819883673,2.2242191058804,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"75","76",50.070851596042,49.252262168305,1.79022549105,0.065609431053556,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"76","77",49.11755332218,48.122204261229,3.555613758785,2.3931765378081,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"77","78",49.08303659502,48.440146719021,2.2265538842831,1.4472851104304,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"78","79",47.108333434925,45.969661749473,0.22035828616308,-0.89196408624284,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"79","80",50.366290636763,49.571762327,3.2030417908111,1.3796981484469,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"80","81",44.200834436147,43.383508824887,2.93545676901,1.5439759556659,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","82",44.393331095059,43.770780304363,1.9963637896774,0.73810974125492,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"82","83",43.806770970879,42.982043008785,6.9337211159516,5.6559638228901,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"83","84",44.431367227183,43.658685905188,5.7573377215236,4.649227423465,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84","85",47.083893903306,46.266566974958,-0.53779518169029,-2.3987614706025,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85","86",47.175754285742,46.049008552161,1.2126877519811,-0.1021158452812,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"86","87",46.401546863371,45.437356928582,1.9094484810021,0.62974117909144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"87","88",48.513587820739,47.813051201983,7.1982872111206,5.3944755711529,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"88","89",48.39970411104,47.312769315752,4.3403007872795,2.8487899744432,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","90",47.824784354742,47.433371743667,7.1398015507652,6.7576409592057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"90","91",48.776101996393,48.284688606385,2.5853737107586,1.9149199821626,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"91","92",48.950965864655,48.72948996497,2.3363529889891,2.1458760215967,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"92","93",49.012397786393,48.807437551952,2.6025997962059,2.2882536989787,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"93","94",48.861405371284,48.688326690701,2.6136517425679,2.3102224901101,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"94","95",49.232197221792,48.908679329899,2.5905283926735,1.608798807603,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"95","2A",42.381404942274,41.362164776515,9.4073217319481,8.5401025407511,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96","2B",43.011724041684,41.832143660252,9.5592262719626,8.5734085639674,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
